Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,37.779999,38.09,35.529999,36.240002,2734000,36.240002
2016-09-01,39.349998,40.43,36.650002,37.950001,3733100,37.950001
2016-08-01,39.23,39.990002,38.00,39.330002,3234300,39.330002
2016-07-01,35.48,39.599998,34.560001,39.23,3612300,38.652939
2016-06-01,32.77,35.619999,32.709999,35.380001,3499500,34.859573
2016-05-02,34.099998,36.900002,31.98,32.869999,4922900,32.386494
2016-04-01,32.48,35.799999,31.91,33.830002,4310000,32.790501
2016-03-01,29.83,33.330002,29.790001,32.580002,4076500,31.578909
2016-02-01,35.790001,36.860001,25.110001,29.58,6021200,28.671089
2016-01-04,37.599998,39.25,34.540001,35.939999,4919100,34.288979
2015-12-01,35.779999,38.91,34.939999,38.240002,3791000,36.483322
2015-11-02,37.169998,37.75,32.709999,35.529999,4069200,33.897812
2015-10-14,38.810001,39.830002,37.139999,37.200001,3543700,34.935936
